front	position-x	position-y	speed	speed-x	speed-y	timestamp	v-x	v-y	v-z
1.613219	470937.777514	4398730.404505	0.000000	0.000000	0.000000	1543307398.746578	3.202821	1.907110	1.983712
1.609169	470937.772900	4398730.418119	0.000000	0.000000	0.000000	1543307398.850267	3.238082	1.904566	1.988398
1.611152	470937.752978	4398730.406979	0.000000	0.000000	0.000000	1543307398.948558	3.201835	1.947071	1.982434
1.614695	470937.721703	4398730.411509	0.000000	0.000000	0.000000	1543307399.047584	3.201633	1.877689	1.983056
1.613808	470937.754942	4398730.420281	0.000000	0.000000	0.000000	1543307399.145829	3.209544	1.949069	1.990612
1.611937	470937.720503	4398730.418548	0.000000	0.000000	0.000000	1543307399.248680	3.217163	1.883037	1.980730
1.611610	470937.754682	4398730.417648	0.000000	0.000000	0.000000	1543307399.348551	3.202118	1.947362	1.989380
1.612418	470937.721421	4398730.420038	0.000000	0.000000	0.000000	1543307399.454998	3.199737	1.882100	1.983155
1.613382	470937.779365	4398730.410226	0.000000	0.000000	0.000000	1543307399.548190	3.192013	1.902824	1.983047
1.615435	470937.729422	4398730.422075	0.000000	0.000000	0.000000	1543307399.647199	3.207695	1.789253	1.984251
1.613734	470937.776462	4398730.077266	0.000000	0.000000	0.000000	1543307399.748077	2.520968	1.746702	1.982323
1.618561	470937.745599	4398730.417875	0.000000	0.000000	0.000000	1543307399.849777	3.158885	1.862543	1.989337
1.622870	470937.760869	4398730.440599	0.000000	0.000000	0.000000	1543307399.948221	3.197714	1.973480	2.004399
1.629179	470937.677032	4398730.439112	0.000000	0.000000	0.000000	1543307400.052368	3.185828	1.789398	2.027297
1.633977	470937.715941	4398730.462844	0.000000	0.000000	0.000000	1543307400.158582	3.189980	1.885081	2.046340
1.633132	470937.733990	4398730.550544	0.000000	0.000000	0.000000	1543307400.250560	3.276446	2.029666	2.061518
1.634085	470937.788838	4398730.535866	0.000000	0.000000	0.000000	1543307400.356869	3.387028	2.030800	1.894379
1.631011	470937.737835	4398730.623405	0.000000	0.000000	0.000000	1543307400.448925	3.384013	2.031941	1.899696
1.631573	470937.816399	4398730.632903	0.000000	0.000000	0.000000	1543307400.552610	3.349398	1.950847	1.906772
